Titel|Autoren|Schriftenreihe|Kategorien|Publikationsdatum|Verlag|Seiten|ISBN
Ausgezeichnete Spiele. Ratgeber der Jury 'Spiel des Jahres'|AK|||1997|Don Bosco Medien GmbH|208|3769810538
Ausweitung der Kampfzone|Michel Houellebecq, Leopold Federmair|||2000|Rowohlt Tb.|169|9783499227301
Autonomie oder Getto? Kontroversen über die linke Alternativbewegung|Wolfgang Kraushaar, Daniel Cohn-Bendit, Peter Brückner, Jens Huhn, Thomas Schmid, Matthis Dienstag, Bernd Leineweber, Karl-Ludwig Schibel||||Verlag Neue Kritik||3801501507
Avocado bis Zuckerrohr|Heinz Jenuwein|||1997|Ulmer (Eugen)|127|9783800168750
Barfuß auf Asphalt. Ein unordentlicher Lebenslauf|Vilma Sturm|||08/1985|Kiepenheuer & Witsch GmbH|328|3462014404
Barfuß über Glas. Roman|Iain Banks, Irene Bonhorst|||01/11/1993|Heyne|350|9783453053731
Basis-Diskothek Jazz|Grete Letting, Ralf Dombrowski||Jazz|2004|Reclam, Philipp, jun. GmbH, Verlag|234|9783150183724
Baureihe 01|Manfred Weisbrod, Wolfgang Petznick||Eisenbahn|1979|Transpress|288|
Baureihe 03|Manfred Weisbrod, Horst J. Obermayer|||07/2006|transpress|160|9783613713000
Baureihe 95 - Der Lebenslauf der Bergkönigin|Wolfram Brozeit, Hans Müller, Günter Bölke|||1994|Transpress|207|9783344703776
Baustilfibel|Herbert Kürth, Aribert Kutschmar||Architektur|1969|Volk und Wissen, Berlin|240|
Beautiful Evidence|Edward R. Tufte||Computers|2006|Graphics Pr|213|9780961392178
Beethovens Symphonien. Symphonien Nr. 1-3|Max Chop|Reclams Universal Bibliothek (Band 5.231)||1910|Philipp Reclam jun. Leipzig|111|
Begegnung im Licht|Helmut Fickelscherer (Hrsg.)|||1976|Neues Leben, Berlin|377|
Begegnung im Nebel|Rolf Krohn|||1988|Das neue Berlin|279|3-360-00139-7
Begegnung mit der Unsterblichkeit|Kurt David|||1981|Der Kinderbuchverlag Berlin|265|
Beowulf|Hannes Hüttner||||Der Kinderbuchverlag Berlin|86|
Beowulf: Das angelsächsiche Heldenepos über nordische Könige. Neue Prosaübersetzung, Originaltext, versgetreue Stabreimfassung|Hans-Jürgen Hube|||2005|Marix|300|9783865390127
Berlin 1945 - Das Ende|Antony Beevor||Militaria|13/11/2003|Bertelsmann, C|544|9783570003695
Berlin 1989|Antonia Meiners||Berlin (Germany)|2009|Nicolai|127|9783894794941
Berliner Spielkarten|Theodor Kohlmann, Sigmar Radau|Kleine Schriften der Freunde des Museums für Deutsche Volkskunde (Band 6)|Spielkarten|1984|Verein d. Freunde d. Museums f. Volkskunde|132|3924084017
Besser Squash spielen|Jahangir Khan|||1992|Rowohlt Tb.|127|3499186713
Betriebssysteme kompakt|Christian Baun||Computers|20/05/2017|Springer Vieweg|267|9783662531426
BI-Lexikon Heimpflanzen|Udo Jacob, Gudrun (Hrsg.) Thomas-Petersein|||1984|VEB Bibliographisches Institut Leipzig|496|
BI-Taschenlexikon Heimtiere|Udo Jacob, Gudrun (Hrsg.) Thomas-Petersein|||1982|VEB Bibliographisches Institut Leipzig|332|
Bier selber brauen|Reinhard Jarczok|||2014|Garant Verlag GmbH|176|9783867664691
Bierologie|Martin Knab, Johannes Schulters||Beer|1999|Carl|140|3418007686
Bike Fahrtechnik|Thomas Rögner, Ulrich Stanciu|||1996|Delius Klasing|139|9783768807203
Bilder-Atlas zur sächsischen Geschichte|O.E. Schmidt, J.L. Sponsel|||1909|Verlag von B.G. Teubner in Leipzig und Dresden|104|
Biochips|William Gibson|||08/2002|Heyne|0|9783453027770
Biographisches Handbuch der 10. Volkskammer der DDR (1990)|Christopher Hausmann|||2000|Böhlau-Verlag Köln Weimar Wien|258|9783412025977
Bioinformatik: Eine Einführung|Arthur M. Lesk, Sebastian Vogel||Informatik|2003|Spektrum Akademischer Verlag|319|9783827413710
Black Hawk down - kein Mann bleibt zurück|Mark Bowden||Militaria|2002|Heyne, W|575|9783453868311
Blauer Würger|Thomas Kochan||Drinking of alcoholic beverages|2011|Aufbau-Verlag|446|9783351027308
Bockstarke Klassiker|Uta Claus, Rolf Kutschera|||1985|Eichborn|80|3821818190
Bored of the Rings|Henry N. Beard, Douglas C. Kenney||Fiction|1993|New Amer Library|149|9780451452610
Briefe vom Weihnachtsmann|John Ronald Reuel Tolkien||Christmas|2005|Klett-Cotta|111|3608911553
Brotbackbuch Nr. 1: Grundlagen und Rezepte für ursprüngliches Brot|Lutz Geißler||||Ulmer Eugen Verlag|280|9783818605278
Bube Dame König|Theodor Kohlmann, Sigma Radau, Stefan Schlede|Schriften des Museums für Deutsche Volkskunde, Berlin (Band 8)|Spielkarten|1982|Staatliche Museen Preußischer Kulturbesitz|215|345832612X
Bube, Dame, König: Alte Spielkarten aus Berliner Museums- und Privatsammlungen|Theodor Kohlmann, Sigmar Radau, Stefan Schlede|Schriften des Museums für Deutsche Volkskunde, Berlin (Band 8)|Spielkarten|1982|Staatliche Museen Preußischer Kulturbesitz|216|3886091007
Bugs in Writing: A Guide to Debugging Your Prose|Lyn Dupre|||1995|Addison Wesley|649|9780201600193
Bummi|AK|||1974|Verlag Junge Welt Berlin||
Bye bye, Lübben City: Bluesfreaks, Tramps und Hippies in der DDR|Michael Rauhut, Thomas Kochan, Jürgen Balitzki, Christoph Dieckmann, Rainer Eppelmann, Paul Kaiser, Tilo Köhler, Christian K Kunert, Theo Lehmann, Ruth Leiserowitz, Olaf Leitner, Kay Lutter, Luise Mirsch, Lutz Rathenow, Fritz Rau, Detlef Siegfried, Joachim Walther|||2004|Schwarzkopf & Schwarzkopf|456|9783896026026
Bücher sammeln|Klaus Walther|||2004|Deutscher Taschenbuch Verlag|123|9783423341424
C++ Programming Language, The|Bjarne Stroustrup||Informatik|1994|Addison-Wesley|691|9780201539929
C, A Reference Manual|Samuel P. Harbison, Guy L. Steele, Guy Steele||Computers|2002|Pearson|533|9780130895929
Calibans Krieg|James Corey|||13/02/2017|Heyne Verlag|656|9783453318021
Chemie in Übersichten|Klaus Sommer|||1981|Volk und Wissen, Berlin|168|
Chemie photographischer Prozesse|Hans-Martin Barchet|||1965|Akademie-Verlag Berlin|165|
Chemie selbst erlebt|Erich Große, Christian Weißmantel||Chemie|1982|Urania Verlag Leipzig , Jena , Berlin|280|
Children of Dune|Frank Herbert|||01/01/2003|Heyne|956|345387322X
Christliches Gesangbuch für die evangelischen Gemeinden des Fürstentums Minden und der Grafschaft Ravensberg|N.N.|||1905|Verlag von C. Bertelsmann  Gütersloh||
Chronik von Oberlungwitz|Rosemarie Müller|Beiträge zur jüngeren Geschichte der Stadt Oberlungwitz|Heimat|||195|
Circus Maximus: Gesammelte Werke|Gerhard Polt|||08/09/2016|Kein und Aber (Bücher+Tonträger), Zürich|828|9783036951010
City of Golden Shadow|Tad Williams||Fiction|01/01/1998|Daw Books|780|0886777631
Collecting Playing Cards|Sylvia Mann|||1979|Howard Baker Press Ltd|208|0703001450
Comic Jahrbuch 1986|Martin Compart, Andreas. Knigge|||01/05/1989|Ullstein Taschenbuchvlg.|379|3548365205
Comic Jahrbuch 1990|Andreas C. Knigge||Comic|01/12/1997|Carlsen Verlag GmbH|223|9783551017154
Comics richtig lesen|Scott McCloud||Comic - Comic|1994|Carlsen Verlag GmbH|224|9783551721136
Command and Control|Eric Schlosser||Nuclear warfare|2013|Lane, Allen|632|9781846141485
